id,NCM,description,cadastro,status,promo_price,unit_price,tax,net_after_commission,cost,lucro,margin,product
789404020948,9603.90.00,ROLO TIRA PELOS,,,R$ 12.90,R$ 16.90,R$ 0.77,R$ 5.55,R$ 2.26,R$ 3.29,145%,
789409126876,3926.90.90,KIT REFIL CATA CACA 12 ROLOS + SUPORTE,,,R$ 24.90,R$ 29.90,R$ 1.49,R$ 14.43,R$ 9.60,R$ 4.83,50%,
06102AZ,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM     AZUL,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 10.00,R$ 3.70,37%,
06102RS,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM     ROSA,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 10.00,R$ 3.70,37%,
06102VM,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM     VERMELHO,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 10.00,R$ 3.70,37%,
06102PT,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM PRETO,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 9.00,R$ 4.70,52%,
CAIXAS DE TRANSPORTE,,,,,,,,,,,,
,3923.10.90,CAIXA DE TRANSPORTE MMA Nº0 FILHOTE,INAT.,ok,R$ 42.99,R$ 49.99,R$ 2.58,R$ 27.81,R$ 13.70,R$ 14.11,103%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº1 ,INAT.,ok,R$ 54.99,R$ 69.99,R$ 3.30,R$ 36.69,R$ 19.90,R$ 16.79,84%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº2 ,INAT.,ok,R$ 69.99,R$ 79.99,R$ 4.20,R$ 47.79,R$ 31.20,R$ 16.59,53%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº3 ,INAT.,ok,R$ 99.00,R$ 129.99,R$ 5.94,R$ 69.26,R$ 47.99,R$ 21.27,44%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº4,INAT.,ok,R$ 149.99,R$ 179.99,R$ 9.00,R$ 106.99,R$ 73.50,R$ 33.49,46%,
