CÓD. INTERNO,PRODUTO,CÓD. DE BARRAS,NCM,PRODUTO,UTL,FYEL,TAMANHO,EMBALAGEM,PESO COM EMBALAGEM gm,CUSTO,VENDA SHOPEE LOJA UTL,VALOR QUE SOBRA APÓS COMISSÃO E TAXAS SHOPEE – IMPOSTO,VALOR LUCRO – IMPOSTO 6%,IMPOSTO,MARGEM EM %,FERNANDO PET MERCADO LIVRE
CARTELA COM 10 PÇS DE COLEIRAS ELÁSTICA ESTAMPADA PARA GATO,,,,,,,,,,,,,,,,
CÓD.0032,,7897175490032,5206.32.00,COLEIRA GATO ESTAMPADA COM GUIZO,,OK,,CARTELA C/10,65gm,R$ 6.50,R$ 22.90,R$ 12.95,R$ 6.45,R$ 1.37,99%,R$ 25.19
CÓD.0033,,7897175480033,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE GATA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
CÓD.0010,,7897175470010,5206.32.00,COLEIRA GATO ESTAMPAMPADA COM PINGENTE BORBOLETA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
CÓD.0009,,7897175410009,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE PATA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
CÓD.0034,,7897175470034,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE MIX + PLACA,,,,CARTELA C/10,115gm,R$ 14.50,R$ 32.90,R$ 20.35,R$ 5.85,R$ 1.97,40%,
CÓD.0235,,7897175440235,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE CARA DE GATA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
CÓD.0240,,7897175460240,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE CORAÇÃO,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
CÓD.0241,,7897175450241,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE COROINHA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
CÓD.0242,,7897175440242,5206.32.00,COLEIRA GATO ESTAMPADA COM PINGENTE MIX,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 26.90,R$ 15.91,R$ 5.81,R$ 1.61,57%,R$ 29.59
-4,,,,,,,,,,,,,,,,
CÓD.0076,,7897175670076,5206.32.00,COLEIRA GATO BRILHO COM GUIZO ,,OK,,CARTELA C/10,65gm,R$ 6.43,R$ 22.90,R$ 12.95,R$ 6.52,R$ 1.37,101%,R$ 25.19
CÓD.0075,,7897175680075,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE GATA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CÓD.0082,,7897175680082,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE BORBOLETA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CÓD.0081,,7897175690081,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE PATA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CÓD.0077,,7897175660077,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE MIX + PLACA,,,,CARTELA C/10,115gm,R$ 14.50,R$ 32.90,R$ 20.35,R$ 5.85,R$ 1.97,40%,
