CÓD. INTERNO,PRODUTO,CÓD. DE BARRAS,NCM,PRODUTO,UTL,FYEL,TAMANHO,EMBALAGEM,PESO COM EMBALAGEM gm,CUSTO,VENDA SHOPEE LOJA UTL,VALOR QUE SOBRA APÓS COMISSÃO E TAXAS SHOPEE – IMPOSTO,VALOR LUCRO – IMPOSTO 6%,IMPOSTO,MARGEM EM %,FERNANDO PET MERCADO LIVRE
CÓD. 0300,,7897175610300,5206.32.00,PEITORAL AMERICANA G SEDA 20MM LUXO C/ GUIA 1MT,,,G,UNITÁRIO,133gm,R$ 7.05,R$ 39.90,R$ 25.53,R$ 18.48,R$ 2.39,262%,R$ 43.89
CÓD. 0304,,7897175670304,5206.32.00,PEITORAL AMERICANA GG SEDA 25MM LUXO C/ GUIA 1MT,,,GG,UNITÁRIO,209gm,R$ 10.49,R$ 45.90,R$ 29.97,R$ 19.48,R$ 2.75,186%,R$ 50.49
CÓD. 0382,,,5206.32.00,PEITORAL AMERICANA SEDA 25MM LUXO EXTRA GG C/ GUIA 1MT,,,EXTRA GG,UNITÁRIO,,R$ 10.69,R$ 49.90,R$ 32.93,R$ 22.24,R$ 2.99,208%,R$ 54.89
-4,,,,,,,,,,,,,,,,
CÓD. 0050,,7897175690050,5206.32.00,PEITORAL AMERICANA NYLON MULTI COLOR LUXO 15MM P,,,P,UNITÁRIO,83gm,R$ 4.70,R$ 29.90,R$ 18.13,R$ 13.43,R$ 1.79,286%,R$ 32.89
CÓD. 0051,,7897175680051,5206.32.00,PEITORAL AMERICANA NYLON MULTI COLOR LUXO 20MM M,,,M,UNITÁRIO,120gm,R$ 6.16,R$ 35.90,R$ 22.57,R$ 16.41,R$ 2.15,266%,R$ 39.49
CÓD. 0052,,7897175670052,5206.32.00,PEITORAL AMERICANA NYLON MULTI COLOR LUXO 20MM G,,,G,UNITÁRIO,127gm,R$ 6.26,R$ 39.90,R$ 25.53,R$ 19.27,R$ 2.39,308%,R$ 43.89
CÓD. 0053,,7897175660053,5206.32.00,PEITORAL AMERICANA NYLON MULTI COLOR LUXO 25MM GG,,,GG,UNITÁRIO,206gm,R$ 9.31,R$ 45.90,R$ 29.97,R$ 20.66,R$ 2.75,222%,R$ 50.49
CÓD. 0380,,7897175670380,5206.32.00,PEITORAL AMERICANA NYLON MULTI COLOR LUXO 25MM EXTRA GG,,,EXTRA GG,UNITÁRIO,,R$ 9.45,R$ 49.90,R$ 32.93,R$ 23.48,R$ 2.99,248%,R$ 54.89
CONJUNTO GUIA E PEITORAL TRADICIONAL LUXO,,,,,,,,,,,,,,,,
CÓD. 0020,,7897175670020,5206.32.00,PEITORAL TRADICIONAL SEDA 15MM LUXO BORRACHINHA N°0,,,0,UNITÁRIO,67gm,R$ 4.21,R$ 29.90,R$ 18.13,R$ 13.92,R$ 1.79,331%,R$ 32.89
CÓD. 0021,,7897175670021,5206.32.00,PEITORAL TRADICIONAL SEDA 15MM LUXO BORRACHINHA N°1,,,1,UNITÁRIO,68gm,R$ 4.28,R$ 29.90,R$ 18.13,R$ 13.85,R$ 1.79,324%,R$ 32.89
CÓD. 0022,,7897175660022,5206.32.00,PEITORAL TRADICIONAL SEDA 15MM LUXO BORRACHINHA N°2,,,2,UNITÁRIO,69gm,R$ 4.39,R$ 29.90,R$ 18.13,R$ 13.74,R$ 1.79,313%,R$ 32.89
CÓD. 0023,,7897175650023,5206.32.00,PEITORAL TRADICIONAL SEDA 15MM LUXO BORRACHINHA N°3,,,3,UNITÁRIO,70gm,R$ 4.46,R$ 29.90,R$ 18.13,R$ 13.67,R$ 1.79,306%,R$ 32.89
CÓD. 0024,,7897175640024,5206.32.00,PEITORAL TRADICIONAL SEDA 15MM LUXO BORRACHINHA N°4,,,4,UNITÁRIO,71gm,R$ 4.52,R$ 29.90,R$ 18.13,R$ 13.61,R$ 1.79,301%,R$ 32.89
CÓD. 0078,,7897175650078,5206.32.00,PEITORAL TRADICIONAL SEDA 20MM LUXO BORRACHINHA N°5,,,5,UNITÁRIO,98gm,R$ 5.77,R$ 39.90,R$ 25.53,R$ 19.76,R$ 2.39,342%,R$ 43.89
CÓD. 0079,,7897175640079,5206.32.00,PEITORAL TRADICIONAL SEDA 20MM LUXO BORRACHINHA N°6,,,6,UNITÁRIO,104gm,R$ 5.94,R$ 39.90,R$ 25.53,R$ 19.59,R$ 2.39,330%,R$ 43.89
CÓD. 0080,,7897175600080,5206.32.00,PEITORAL TRADICIONAL SEDA 20MM LUXO BORRACHINHA N°7,,,7,UNITÁRIO,107gm,R$ 6.07,R$ 39.90,R$ 25.53,R$ 19.46,R$ 2.39,321%,R$ 43.89
CONJUNTO GUIA E PEITORAL H LUXO,,,,,,,,,,,,,,,,
CÓD. 0039,,7897175660039,5206.32.00,PEITORAL H SEDA 15MM P LUXO,,,0,UNITÁRIO,79gm,R$ 4.86,R$ 34.90,R$ 21.83,R$ 16.97,R$ 2.09,349%,R$ 38.39
CÓD. 0040,,7897175600040,5206.32.00,PEITORAL H SEDA 20MM M LUXO,,,1,UNITÁRIO,116gm,R$ 6.23,R$ 39.90,R$ 25.53,R$ 19.30,R$ 2.39,310%,R$ 43.89
CÓD. 0041,,7897175090041,5206.32.00,PEITORAL H SEDA 25MM G LUXO,,,2,UNITÁRIO,186gm,R$ 8.77,R$ 45.90,R$ 29.97,R$ 21.20,R$ 2.75,242%,R$ 50.49
CONJUNTO GUIA E PEITORAL AMERICANA LUXO PREMIUM ,,,,,,,,,,,,,,,,
CÓD. 0035,,7897175600035,5206.32.00,PEITORAL AMERICANA SEDA 15MM LUXO PREMIUM P,,,P,UNITÁRIO,107gm,R$ 7.92,R$ 49.90,R$ 32.93,R$ 25.01,R$ 2.99,316%,R$ 54.89
CÓD. 0036,,7897175690036,5206.32.00,PEITORAL AMERICANA SEDA 20MM LUXO PREMIUM M,,,M,UNITÁRIO,153gm,R$ 10.26,R$ 54.90,R$ 36.63,R$ 26.37,R$ 3.29,257%,R$ 60.39
CÓD. 0037,,7897175680037,5206.32.00,PEITORAL AMERICANA SEDA 20MM LUXO PREMIUM G,,,G,UNITÁRIO,158gm,R$ 10.90,R$ 59.90,R$ 40.33,R$ 29.43,R$ 3.59,270%,R$ 65.89
CÓD. 0038,,7897175670038,5206.32.00,PEITORAL AMERICANA SEDA 25MM LUXO PREMIUM GG,,,GG,UNITÁRIO,230gm,R$ 17.75,R$ 64.90,R$ 44.03,R$ 26.28,R$ 3.89,148%,R$ 71.39
COLEIRA SEDA LUXO PREMIUM,,,,,,,,,,,,,,,,
CÓD. 0326,,7897175690326,5206.32.00,COLEIRA SEDA 15MM LUXO PREMIUM P,,,P,UNITÁRIO,24gm,R$ 2.10,R$ 16.50,R$ 8.21,R$ 6.11,R$ 0.99,291%,R$ 18.15
CÓD. 0327,,7897175680327,5206.32.00,COLEIRA SEDA 20MM LUXO PREMIUM M,,,M,UNITÁRIO,35gm,R$ 2.80,R$ 18.90,R$ 9.99,R$ 7.19,R$ 1.13,257%,R$ 20.79
CÓD. 0328,,7897175670328,5206.32.00,COLEIRA SEDA 25MM LUXO PREMIUM G,,,G,UNITÁRIO,56gm,R$ 4.60,R$ 24.90,R$ 14.43,R$ 9.83,R$ 1.49,214%,R$ 27.39
-R$ 4.00,,,,,,,,,,,,,,,,
CÓD. 0134,,7897175600134,5206.32.00,KIT COLEIRA + GUIA SEDA 15MM LUXO PREMIUM P,,,P,UNITÁRIO,71gm,R$ 6.60,R$ 34.90,R$ 21.83,R$ 15.23,R$ 2.09,231%,R$ 38.39
CÓD. 0151,,7897175670151,5206.32.00,KIT COLEIRA + GUIA PREMIUM SEDA 20MM LUXO M,,,M,UNITÁRIO,106gm,R$ 8.35,R$ 39.90,R$ 25.53,R$ 17.18,R$ 2.39,206%,R$ 43.89
CÓD. 0155,,7897175630155,5206.32.00,KIT COLEIRA + GUIA PREMIUM SEDA 25MM LUXO G,,,G,UNITÁRIO,138gm,R$ 11.30,R$ 44.90,R$ 29.23,R$ 17.93,R$ 2.69,159%,R$ 49.39
CINTO DE SEGURANÇA LUXO PREMIUM,,,,,,,,,,,,,,,,
CÓD. 0329,,7897175660329,5206.32.00,CINTO DE SEGURANÇA SEDA 15MM LUXO PREMIUM P,,,P,UNITÁRIO,55gm,R$ 5.30,R$ 29.90,R$ 18.13,R$ 12.83,R$ 1.79,242%,R$ 32.89
CÓD. 0330,,7897175790330,5206.32.00,CINTO DE SEGURANÇA SEDA 20MM LUXO PREMIUM M,,,M,UNITÁRIO,71gm,R$ 6.25,R$ 34.90,R$ 21.83,R$ 15.58,R$ 2.09,249%,R$ 38.39
CÓD. 0331,,7897175780331,5206.32.00,CINTO DE SEGURANÇA SEDA 25MM LUXO PREMIUM G,,,G,UNITÁRIO,77gm,R$ 7.20,R$ 39.90,R$ 25.53,R$ 18.33,R$ 2.39,255%,R$ 43.89
-4,,,,,,,,,,,,,,,,
CÓD. 0332,,7897175770332,5206.32.00,CINTO DE SEGURANÇA SEDA 20MM DUPLO 2 CÃES LUXO PREMIUM M,,,M,UNITÁRIO,132gm,R$ 9.77,R$ 49.90,R$ 32.93,R$ 23.16,R$ 2.99,237%,R$ 54.89
-4,,,,,,,,,,,,,,,,
CÓD. 0336,,7897175730336,5206.32.00,GUIA SEDA 20MM 1MT DUPLO 2 CÃES LUXO PREMIUM M,,,M,UNITÁRIO,136gm,R$ 9.90,R$ 49.90,R$ 32.93,R$ 23.03,R$ 2.99,233%,R$ 54.89
GUIA DE SEDA LUXO PREMIUM,,,,,,,,,,,,,,,,
CÓD. 0333,,7897175760333,5206.32.00,GUIA SEDA 15MM 1MT LUXO PREMIUM P,,,P,UNITÁRIO,52gm,R$ 4.49,R$ 24.90,R$ 14.43,R$ 9.94,R$ 1.49,221%,R$ 27.39
CÓD. 0334,,7897175757334,5206.32.00,GUIA SEDA 20MM 1MT LUXO PREMIUM M,,,M,UNITÁRIO,72gm,R$ 5.55,R$ 29.90,R$ 18.13,R$ 12.58,R$ 1.79,227%,R$ 32.89
CÓD. 0335,,7897175740335,5206.32.00,GUIA SEDA 25MM 1MT LUXO PREMIUM G,,,G,UNITÁRIO,87gm,R$ 6.70,R$ 34.90,R$ 21.83,R$ 15.13,R$ 2.09,226%,R$ 38.39
-4,,,,,,,,,,,,,,,,
CÓD. 0068,,7897175680068,5206.32.00,PEITORAL TRADICIONAL NYLON 15MM LISTRA Nº0,,,0,UNITÁRIO,59gm,R$ 3.30,R$ 16.90,R$ 8.51,R$ 5.21,R$ 1.01,158%,R$ 18.59
CÓD. 0069,,7897175670069,5206.32.00,PEITORAL TRADICIONAL NYLON 15MM LISTRA Nº1,,,1,UNITÁRIO,60gm,R$ 3.34,R$ 16.90,R$ 8.51,R$ 5.17,R$ 1.01,155%,R$ 18.59
CÓD. 0070,,7897175630070,5206.32.00,PEITORAL TRADICIONAL NYLON 15MM LISTRA Nº2,,,2,UNITÁRIO,62gm,R$ 3.39,R$ 16.90,R$ 8.51,R$ 5.12,R$ 1.01,151%,R$ 18.59
CÓD. 0071,,7897175620071,5206.32.00,PEITORAL TRADICIONAL NYLON 15MM LISTRA Nº3,,,3,UNITÁRIO,64gm,R$ 3.43,R$ 16.90,R$ 8.51,R$ 5.08,R$ 1.01,148%,R$ 18.59
CÓD. 0072,,7897175610072,5206.32.00,PEITORAL TRADICIONAL NYLON 15MM LISTRA Nº4,,,4,UNITÁRIO,67gm,R$ 3.47,R$ 16.90,R$ 8.51,R$ 5.04,R$ 1.01,145%,R$ 18.59
CÓD. 0073,,7897175600073,5206.32.00,PEITORAL TRADICIONAL NYLON 15MM LISTRA Nº5,,,5,UNITÁRIO,70gm,R$ 3.51,R$ 16.90,R$ 8.51,R$ 5.00,R$ 1.01,142%,R$ 18.59
-R$ 4.00,,,,,,,,,,,,,,,,
CÓD.0087,,7897175630087,5206.32.00,PEITORAL TRADICIONAL NYLON 40MM GUIA C/MOLA Nº6,,,6,UNITÁRIO,193gm,R$ 10.26,R$ 29.90,R$ 18.13,R$ 7.87,R$ 1.79,77%,R$ 32.89
CÓD 0088,,7897175620088,5206.32.00,PEITORAL TRADICIONAL NYLON 40MM GUIA C/MOLA Nº7,,,7,UNITÁRIO,196gm,R$ 10.76,R$ 32.90,R$ 20.35,R$ 9.59,R$ 1.97,89%,R$ 36.19
CÓD.0089,,7897175610089,5206.32.00,PEITORAL TRADICIONAL NYLON 40MM GUIA C/MOLA Nº8,,,8,UNITÁRIO,198gm,R$ 11.11,R$ 34.90,R$ 21.83,R$ 10.72,R$ 2.09,96%,R$ 38.39
CÓD.0379,,7897164481379,5206.32.00,PEITORAL TRADICIONAL NYLON 40MM GUIA C/MOLA Nº9,,,9,UNITÁRIO,200gm,R$ 11.58,R$ 36.90,R$ 23.31,R$ 11.73,R$ 2.21,101%,R$ 40.59
COLETE PEITORAL TÁTICO REFORÇADO PORTE MÉDIO/GRANDE,,,,,,,,,,,,,,,,
CÓD. 0100,,7897175630100,5206.32.00,PEITORAL COLETE TÁTICO AJUSTAVEL PRETA,,,PRETO,UNITÁRIO,204gm,R$ 18.00,R$ 44.90,R$ 29.23,R$ 11.23,R$ 2.69,62%,R$ 49.39
CÓD. 0101,,7897175620101,5206.32.00,PEITORAL COLETE TÁTICO AJUSTAVEL VERMELHA,,,VERMELHO,UNITÁRIO,204gm,R$ 18.00,R$ 44.90,R$ 29.23,R$ 11.23,R$ 2.69,62%,R$ 49.39
CÓD. 0102,,7897175610102,5206.32.00,PEITORAL COLETE TÁTICO AJUSTAVEL CAMUFLADA,,,CAMUFLADO,UNITÁRIO,204gm,R$ 18.00,R$ 44.90,R$ 29.23,R$ 11.23,R$ 2.69,62%,R$ 49.39
CÓD. 0163,,7897175620163,5206.32.00,PEITORAL COLETE TÁTICO AJUSTAVÉL ROSA,,,ROSA,UNITÁRIO,204gm,R$ 18.00,R$ 44.90,R$ 29.23,R$ 11.23,R$ 2.69,62%,R$ 49.39
GUIA DE CORDA,,,,,,,,,,,,,,,,
CÓD. 0136,,7897175680136,5206.32.00,GUIA DE CORDA ROLIÇA 6MM 1MT,,,6mm,UNITÁRIO,177gm,R$ 2.60,R$ 16.90,R$ 8.51,R$ 5.91,R$ 1.01,227%,R$ 18.59
CÓD. 0137,,7897175670137,5206.32.00,GUIA DE CORDA ROLIÇA 10MM 1MT,,,10mm,UNITÁRIO,154gm,R$ 3.25,R$ 18.90,R$ 9.99,R$ 6.74,R$ 1.13,207%,R$ 20.79
CÓD. 0138,,7897175660138,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 1MT SEM MOLA,,,14mm,UNITÁRIO,127gm,R$ 4.75,R$ 23.90,R$ 13.69,R$ 8.94,R$ 1.43,188%,R$ 26.29
CÓD. 0139,,7897175650139,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 60CM SEM MOLA,,,14mm,UNITÁRIO,119gm,R$ 4.18,R$ 22.90,R$ 12.95,R$ 8.77,R$ 1.37,210%,R$ 25.19
CÓD. 0140,,7897175610140,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 45CM SEM MOLA,,,14mm,UNITÁRIO,123gm,R$ 3.98,R$ 21.90,R$ 12.21,R$ 8.23,R$ 1.31,207%,R$ 24.09
-4,,,,,,,,,,,,,,,,
CÓD. 0141,,7897175600141,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 1MT COM MOLA,,,14mm,UNITÁRIO,177gm,R$ 5.60,R$ 29.90,R$ 18.13,R$ 12.53,R$ 1.79,224%,R$ 32.89
CÓD. 0142,,7897175690142,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 60CM COM MOLA,,,14mm,UNITÁRIO,154gm,R$ 5.05,R$ 28.90,R$ 17.39,R$ 12.34,R$ 1.73,244%,R$ 31.79
CÓD. 0143,,7897175680143,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 45CM COM MOLA,,,14mm,UNITÁRIO,127gm,R$ 4.83,R$ 26.90,R$ 15.91,R$ 11.08,R$ 1.61,229%,R$ 29.59
-4,,,,,,,,,,,,,,,,
CÓD. 0131,,7897175630131,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 1MT COM NÓ SIMPLES,,,1MT,UNITÁRIO,157gm,R$ 5.82,R$ 34.90,R$ 21.83,R$ 16.01,R$ 2.09,275%,R$ 38.39
CÓD. 0132,,7897175620132,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 60CM COM NÓ SIMPLES,,,60CM,UNITÁRIO,135gm,R$ 5.28,R$ 32.90,R$ 20.35,R$ 15.07,R$ 1.97,285%,R$ 36.19
-4,,,,,,,,,,,,,,,,
CÓD. 0090,,7897175500090,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 1MT COM NÓ DUPLO,,,1MT,UNITÁRIO,186gm,R$ 6.27,R$ 37.90,R$ 24.05,R$ 17.78,R$ 2.27,284%,R$ 41.69
CÓD. 0091,,7897175590091,5206.32.00,GUIA DE CORDA ROLIÇA 14MM 60CM COM NÓ DUPLO,,,60CM,UNITÁRIO,160gm,R$ 5.73,R$ 35.90,R$ 22.57,R$ 16.84,R$ 2.15,294%,R$ 39.49
-4,,,,,,,,,,,,,,,,
CÓD. 0185,,7897175640185,5206.32.00,GUIA DE CORDA ROLIÇA 16MM 60CM TRANÇADA ,,,60CM,UNITÁRIO,132gm,R$ 7.30,R$ 29.90,R$ 18.13,R$ 10.83,R$ 1.79,67%,R$ 32.89
GUIA ENFORCADOR CORDA,,,,,,,,,,,,,,,,
CÓD. 0144,,7897175670144,5206.32.00,"GUIA ENFORCADOR CORDA 14MM 1,2 METRO",,,14MM,UNITÁRIO,164gm,R$ 3.39,R$ 23.90,R$ 13.69,R$ 10.30,R$ 1.43,304%,R$ 26.29
CÓD. 0145,,7897175660145,5206.32.00,"GUIA ENFORCADOR CORDA 10MM 1,2 METRO",,,10MM,UNITÁRIO,81gm,R$ 2.81,R$ 54.90,R$ 36.63,R$ 33.82,R$ 3.29,1203%,R$ 60.39
CÓD. 0165,,7897175600165,5206.32.00,GUIA ENFORCADOR CORDA 14MM 80CM,,,14MM,UNITÁRIO,127gm,R$ 3.32,R$ 69.90,R$ 47.73,R$ 44.41,R$ 4.19,1338%,R$ 76.89
CÓD. 0167,,7897175060167,5206.32.00,GUIA ENFORCADOR CORDA 10MM 80CM,,,10MM,UNITÁRIO,68gm,R$ 2.62,R$ 19.90,R$ 10.73,R$ 8.11,R$ 1.19,309%,R$ 21.89
GUIA DE CORDA COM ENFORCADOR DE CORRENTE,,,,,,,,,,,,,,,,
CÓD. 0147,,7897175640147,5206.32.00,GUIA CORDA 14MM COM ENFORCADOR CORRENTE 50CM,,,50,UNITÁRIO,168gm,R$ 5.40,R$ 44.90,R$ 29.23,R$ 23.83,R$ 2.69,441%,R$ 49.39
CÓD. 0169,,7897175660169,5206.32.00,GUIA CORDA 14MM COM ENFORCADOR CORRENTE 60CM,,,60,UNITÁRIO,188gm,R$ 5.99,R$ 46.90,R$ 30.71,R$ 24.72,R$ 2.81,413%,R$ 51.59
CÓD. 0170,,7897175620170,5206.32.00,GUIA CORDA 14MM COM ENFORCADOR CORRENTE 70CM,,,70,UNITÁRIO,200gm,R$ 6.73,R$ 48.90,R$ 32.19,R$ 25.46,R$ 2.93,378%,R$ 53.79
CÓD. 0171,,7897175610171,5206.32.00,GUIA CORDA 14MM COM ENFORCADOR CORRENTE 80CM,,,80,UNITÁRIO,218gm,R$ 6.89,R$ 51.90,R$ 34.41,R$ 27.52,R$ 3.11,399%,R$ 57.09
GUIA DE CORDA COM PUXADOR PNEU,,,,,,,,,,,,,,,,
CÓD. 0042,,7897175080042,5206.32.00,PNEU P COM PUXADOR DE CORDA 6MM,,,P,UNITÁRIO,207gm,R$ 6.95,R$ 34.90,R$ 21.83,R$ 14.88,R$ 2.09,214%,R$ 38.39
CÓD. 0043,,7897175070043,5206.32.00,PNEU M COM PUXADOR DE CORDA 10MM,,,M,UNITÁRIO,323gm,R$ 9.16,R$ 29.90,R$ 18.13,R$ 8.97,R$ 1.79,98%,R$ 32.89
CÓD. 0184,,7897175650184,5206.32.00,PNEU G COM PUXADOR DE CORDA 14MM COM MANOPOLA,,,G,UNITÁRIO,491gm,R$ 11.10,R$ 39.90,R$ 25.53,R$ 14.43,R$ 2.39,130%,R$ 43.89
ENFORCADOR DE CORRENTE,,,,,,,,,,,,,,,,
CÓD. 0353,,,73158900,ENFORCADOR CORRENTE ELO REDONDO 50CM,,,50,UNITÁRIO,137gm,R$ 4.06,R$ 25.90,R$ 15.17,R$ 11.11,R$ 1.55,274%,R$ 28.49
CÓD. 0354,,,73158900,ENFORCADOR CORRENTE ELO REDONDO 60CM,,,60,UNITÁRIO,148gm,R$ 4.72,R$ 28.90,R$ 17.39,R$ 12.67,R$ 1.73,268%,R$ 31.79
CÓD. 0355,,,73158900,ENFORCADOR CORRENTE ELO REDONDO 70CM,,,70,UNITÁRIO,173gm,R$ 5.65,R$ 32.90,R$ 20.35,R$ 14.70,R$ 1.97,260%,R$ 36.19
-R$ 4.00,,,,,,,,,,,,,,,,
CÓD. 0178,,,73158900,ENFORCADOR CORRENTE ELO RETO 50CM,,,50,UNITÁRIO,89gm,R$ 3.01,R$ 22.90,R$ 12.95,R$ 9.94,R$ 1.37,330%,R$ 25.19
CÓD. 0177,,,73158900,ENFORCADOR CORRENTE ELO RETO 60CM,,,60,UNITÁRIO,101gm,R$ 3.60,R$ 26.90,R$ 15.91,R$ 12.31,R$ 1.61,342%,R$ 29.59
CÓD. 0176,,,73158900,ENFORCADOR CORRENTE ELO RETO 70CM,,,70,UNITÁRIO,121gm,R$ 4.34,R$ 29.90,R$ 18.13,R$ 13.79,R$ 1.79,318%,R$ 32.89
CÓD. 0179,,,73158900,ENFORCADOR CORRENTE ELO RETO 80CM,,,80,UNITÁRIO,135gm,R$ 4.50,R$ 32.90,R$ 20.35,R$ 15.85,R$ 1.97,352%,R$ 36.19
CINTO DE SEGURANÇA ,,,,,,,,,,,,,,,,
CÓD.0154,,7897175640154,5206.32.00,CINTO SEGURANÇA NYLON 25MM LISA PRETO,,,G,UNITÁRIO,55gm,R$ 3.02,R$ 14.90,R$ 7.03,R$ 4.01,R$ 0.89,133%,R$ 16.39
CÓD.0159,,7897175690159,5206.32.00,CINTO SEGURANÇA NYLON 25MM LISA VERMELHO,,,G,UNITÁRIO,55gm,R$ 3.02,R$ 14.90,R$ 7.03,R$ 4.01,R$ 0.89,133%,R$ 16.39
CÓD.0160,,7897175650160,5206.32.00,CINTO SEGURANÇA NYLON 25MM LISA AZUL,,,G,UNITÁRIO,55gm,R$ 3.02,R$ 14.90,R$ 7.03,R$ 4.01,R$ 0.89,133%,R$ 16.39
CÓD.0161,,7897175640161,5206.32.00,CINTO SEGURANÇA NYLON 25MM LISA ROSA,,,G,UNITÁRIO,55gm,R$ 3.02,R$ 14.90,R$ 7.03,R$ 4.01,R$ 0.89,133%,R$ 16.39
-4,,,,,,,,,,,,,,,,
,,,5206.32.00,CINTO DE SEGURANÇA DUPLO SEDA 15MM P,,,P,UNITÁRIO,75gm,R$ 5.04,R$ 29.90,R$ 18.13,R$ 13.09,R$ 1.79,260%,R$ 32.89
CÓD.0149,,7897175620149,5206.32.00,CINTO DE SEGURANÇA DUPLO SEDA 20MM M,,,M,UNITÁRIO,83gm,R$ 5.04,R$ 32.90,R$ 20.35,R$ 15.31,R$ 1.97,304%,R$ 36.19
,,,5206.32.00,CINTO DE SEGURANÇA DUPLO SEDA 25MM G,,,G,UNITÁRIO,91gm,R$ 5.04,R$ 34.90,R$ 21.83,R$ 16.79,R$ 2.09,333%,R$ 38.39
-4,,,,,,,,,,,,,,,,
,,,5206.32.00,CINTO DE SEGURANÇA DUPLO SEDA 15MM LUXO P,,,P,UNITÁRIO,82gm,R$ 5.50,R$ 19.90,R$ 10.73,R$ 5.23,R$ 1.19,95%,R$ 21.89
CÓD. 0183,,7897175660183,5206.32.00,CINTO DE SEGURANÇA DUPLO SEDA 20MM LUXO M,,,M,UNITÁRIO,95gm,R$ 5.85,R$ 24.90,R$ 14.43,R$ 8.58,R$ 1.49,147%,R$ 27.39
,,,5206.32.00,CINTO DE SEGURANÇA DUPLO SEDA 25MM LUXO G,,,G,UNITÁRIO,108gm,R$ 6.50,R$ 29.90,R$ 18.13,R$ 11.63,R$ 1.79,179%,R$ 32.89
-4,,,,,,,,,,,,,,,,
CÓD.0166,,7897175690166,5206.32.00,CINTO DE SEGURANÇA SEDA 15MM LUXO P,,,P,UNITÁRIO,42gm,R$ 3.22,R$ 17.90,R$ 9.25,R$ 6.03,R$ 1.07,187%,R$ 19.69
CÓD.0152,,7897175660152,5206.32.00,CINTO DE SEGURANÇA SEDA 20MM LUXO M,,,M,UNITÁRIO,56gm,R$ 3.13,R$ 18.90,R$ 9.99,R$ 6.86,R$ 1.13,219%,R$ 20.79
CÓD.0168,,7897175670168,5206.32.00,CINTO DE SEGURANÇA SEDA 25MM LUXO G,,,G,UNITÁRIO,60gm,R$ 3.37,R$ 19.90,R$ 10.73,R$ 7.36,R$ 1.19,218%,R$ 21.89
GUIAS DE SEDA,,,,,,,,,,,,,,,,
CÓD.0150,,7897175680150,5206.32.00,GUIA DE SEDA 20MM DUPLA ,,,M,UNITÁRIO,89gm,R$ 4.74,R$ 29.90,R$ 18.13,R$ 13.39,R$ 1.79,282%,R$ 32.89
-4,,,,,,,,,,,,,,,,
CÓD.0322,,7897175630322,5206.32.00,GUIA SEDA 15MM 1MT LUXO ,,,P,UNITÁRIO,43gm,R$ 2.48,R$ 14.90,R$ 7.03,R$ 4.55,R$ 0.89,183%,R$ 16.39
CÓD. 0323,,7897175620323,5206.32.00,GUIA SEDA 20MM 1MT LUXO,,,M,UNITÁRIO,56gm,R$ 3.09,R$ 16.90,R$ 8.51,R$ 5.42,R$ 1.01,175%,R$ 18.59
CÓD. 0324,,7897175610324,5206.32.00,GUIA SEDA 25MM 1MT LUXO,,,G,UNITÁRIO,75gm,R$ 4.16,R$ 19.90,R$ 10.73,R$ 6.57,R$ 1.19,158%,R$ 21.89
CAMA MODELO EUROPA,,,,,,,,,,,,,,,,
CÓD. 0192,,7897175640192,5206.32.00,JOGO DE CAMA EUROPA SEM ZIPER COM 5 PEÇAS,,,KIT C/ 5 PÇS,KIT 5 PEÇAS,1.288kg,R$ 55.00,R$ 105.00,R$ 73.70,R$ 18.70,R$ 6.30,34%,R$ 115.50
CÓD. 0278,,7897175630278,5206.32.00,CAMA EUROPA SEM ZIPER N°1 39 X 32 ,,,1,UNITÁRIO,151gm,R$ 10.00,R$ 39.90,R$ 25.53,R$ 15.53,R$ 2.39,155%,R$ 43.89
CÓD. 0279,,7897175620279,5206.32.00,CAMA EUROPA SEM ZIPER N°2 43 X 33 ,,,2,UNITÁRIO,193gm,R$ 11.00,R$ 44.90,R$ 29.23,R$ 18.23,R$ 2.69,166%,R$ 49.39
CÓD. 0280,,7897175680280,5206.32.00,CAMA EUROPA SEM ZIPER N°3 47 X 36 ,,,3,UNITÁRIO,252gm,R$ 12.00,R$ 49.90,R$ 32.93,R$ 20.93,R$ 2.99,174%,R$ 54.89
CÓD. 0281,,7897175670281,5206.32.00,CAMA EUROPA SEM ZIPER N°4 50 X 39 ,,,4,UNITÁRIO,259gm,R$ 13.00,R$ 54.90,R$ 36.63,R$ 23.63,R$ 3.29,182%,R$ 60.39
CÓD. 0282,,7897175660282,5206.32.00,CAMA EUROPA SEM ZIPER N°5 54 X 42 ,,,5,UNITÁRIO,399gm,R$ 14.00,R$ 59.90,R$ 40.33,R$ 26.33,R$ 3.59,188%,R$ 65.89
-4,,,,,,,,,,,,,,,,
